time,open,high,low,close,volume
2018-12-24 13:24:00,182.96,182.96,182.96,182.96,1
2019-05-13 12:09:00,194.0,194.0,194.0,194.0,1
2019-08-07 09:13:00,179.0,179.0,179.0,179.0,1
2019-08-30 10:18:00,179.21,179.21,179.21,179.21,1
2019-09-02 11:27:00,176.96,176.96,176.96,176.96,1
2019-09-03 09:01:00,176.0,176.0,176.0,176.0,1
2020-01-14 15:48:00,183.0,183.0,183.0,183.0,4
2020-01-16 08:23:00,179.0,179.0,179.0,179.0,1
2020-01-24 09:57:00,174.0,174.0,174.0,174.0,1
2020-01-31 05:15:00,170.56,170.56,170.56,170.56,3
2020-02-05 09:58:00,171.6,171.6,171.6,171.6,1
2020-02-06 23:52:00,172.8,172.8,172.8,172.8,2
2020-02-13 05:07:00,173.5,173.5,173.5,173.5,3
2020-02-13 05:10:00,173.5,173.5,173.5,173.5,3
2020-02-13 05:26:00,173.5,173.5,173.5,173.5,2
2020-02-14 10:30:00,173.78,173.78,173.78,173.78,5
2020-02-14 10:31:00,173.65,173.65,173.65,173.65,1
2020-02-21 08:12:00,174.85,174.85,174.85,174.85,1
2020-02-23 18:22:00,173.0,173.0,173.0,173.0,2
2020-02-24 12:07:00,170.76,170.76,170.76,170.76,1
2020-02-26 20:42:00,165.97,165.97,165.97,165.97,1
2020-02-27 07:49:00,165.0,165.0,165.0,165.0,1
2020-02-27 07:53:00,165.0,165.0,165.0,165.0,1
2020-02-27 08:10:00,165.0,165.0,165.0,165.0,1
2020-02-27 11:51:00,165.84,165.84,165.84,165.84,2
2020-02-27 13:08:00,166.2,166.2,166.2,166.2,1
2020-02-27 13:09:00,166.2,166.2,166.2,166.2,1
2020-02-27 13:12:00,166.07,166.07,166.07,166.07,1
2020-02-27 13:16:00,165.9,165.9,165.9,165.9,1
2020-02-27 13:17:00,165.72,165.72,165.72,165.72,1
2020-02-28 11:28:00,164.58,164.58,164.58,164.58,1
2020-03-03 10:29:00,169.1,169.1,169.1,169.1,1
2020-03-06 08:06:00,162.43,162.43,162.43,162.43,2
2020-03-08 18:05:00,157.31,157.31,157.31,157.31,1
2020-03-09 09:29:00,146.5,146.5,146.5,146.5,1
2020-03-09 13:24:00,150.0,150.0,150.0,150.0,1
2020-03-09 14:18:00,147.66,147.66,147.66,147.66,2
2020-03-09 15:22:00,146.5,146.5,146.5,146.5,1
2020-03-09 16:19:00,146.6,146.6,146.6,146.6,1
2020-03-09 16:58:00,145.0,145.0,145.0,145.0,2
2020-03-09 19:01:00,146.76,146.76,146.76,146.76,1
2020-03-10 14:26:00,153.47,153.47,153.47,153.47,1
2020-03-12 10:15:00,150.0,150.0,150.0,150.0,3
2020-03-12 11:20:00,149.0,149.0,149.0,149.0,4
2020-03-12 11:21:00,149.0,149.0,149.0,149.0,2
2020-03-12 12:57:00,149.35,149.35,149.35,149.35,1
2020-03-12 15:56:00,148.02,148.02,148.02,148.02,1
2020-03-12 15:59:00,148.02,148.02,148.02,148.02,1
2020-03-12 16:00:00,148.02,148.02,148.02,148.02,1
2020-03-13 11:21:00,146.99,146.99,146.99,146.99,1
2020-03-13 13:20:00,149.09,149.09,149.09,149.09,1
2020-03-13 16:33:00,146.99,146.99,146.99,146.99,1
2020-03-15 18:00:00,147.7,147.7,147.7,147.7,1
2020-03-16 10:52:00,140.97,140.97,140.97,140.97,1
2020-03-16 14:23:00,139.1,139.1,139.1,139.1,3
2020-03-16 14:28:00,139.1,139.1,139.1,139.1,2
2020-03-17 14:27:00,136.85,136.85,136.85,136.85,5
2020-03-26 13:55:00,133.0,133.0,133.0,133.0,1
2020-03-30 09:55:00,132.0,132.0,132.0,132.0,4
2020-03-30 10:00:00,132.0,132.0,132.0,132.0,2
2020-03-30 12:22:00,132.8,132.8,132.8,132.8,1
2020-03-31 14:59:00,132.95,132.95,132.95,132.95,1
2020-04-02 11:26:00,135.0,135.0,135.0,135.0,2
2020-04-02 15:43:00,134.0,134.0,134.0,134.0,2
2020-04-06 15:21:00,138.56,138.56,138.56,138.56,1
2020-04-07 10:56:00,138.97,138.97,138.97,138.97,2
2020-04-07 14:26:00,137.11,137.11,137.11,137.11,3
2020-04-09 00:26:00,137.0,137.0,137.0,137.0,1
2020-04-09 02:22:00,136.5,136.5,136.5,136.5,2
2020-04-09 08:24:00,136.71,136.71,136.71,136.71,1
2020-04-09 10:39:00,140.82,140.82,140.82,140.82,2
2020-04-09 15:27:00,137.48,137.48,137.48,137.48,2
2020-04-09 15:35:00,136.75,136.75,136.75,136.75,2
2020-04-14 11:00:00,140.05,140.05,140.05,140.05,2
2020-04-14 13:54:00,138.0,138.0,138.0,138.0,1
2020-04-15 04:21:00,137.0,137.0,137.0,137.0,5
2020-04-15 04:23:00,137.0,137.0,137.0,137.0,1
2020-04-16 10:31:00,135.0,135.0,135.0,135.0,2
2020-04-16 12:30:00,135.11,135.11,135.11,135.11,1
2020-04-20 11:31:00,133.5,133.5,133.5,133.5,1
2020-04-20 14:24:00,133.5,133.5,133.5,133.5,2
2020-04-21 04:42:00,128.0,128.0,128.0,128.0,4
2020-04-21 10:41:00,128.0,128.0,128.0,128.0,1
2020-04-21 11:12:00,127.0,127.0,127.0,127.0,2
2020-04-21 16:55:00,124.0,124.0,124.0,124.0,1
2020-04-22 13:42:00,124.66,124.66,124.66,124.66,2
2020-04-22 13:44:00,124.66,124.66,124.66,124.66,3
2020-04-22 13:55:00,124.41,124.41,124.41,124.41,1
2020-04-22 16:00:00,124.84,124.84,124.84,124.84,3
2020-04-23 10:49:00,127.0,127.0,127.0,127.0,1
2020-04-23 14:17:00,123.75,123.75,123.75,123.75,2
2020-04-23 14:19:00,123.75,123.75,123.75,123.75,1
2020-04-29 16:12:00,120.6,120.6,120.6,120.6,1
2020-05-06 10:39:00,121.0,121.0,121.0,121.0,1
2020-05-07 13:09:00,122.0,122.0,122.0,122.0,1
2020-05-08 10:30:00,121.85,121.85,121.85,121.85,1
2020-05-11 10:14:00,122.51,122.51,122.51,122.51,3
2020-05-12 10:58:00,121.1,121.1,121.1,121.1,1
2020-05-13 12:26:00,120.0,120.0,120.0,120.0,1
2020-05-13 13:06:00,119.5,119.5,119.5,119.5,1
2020-05-20 12:03:00,128.86,128.86,128.86,128.86,2
2020-05-22 14:36:00,128.5,128.5,128.5,128.5,1
2020-06-02 10:05:00,134.0,134.0,134.0,134.0,1
2020-06-02 10:18:00,133.62,133.62,133.62,133.62,1
2020-06-03 06:56:00,134.6,134.6,134.6,134.6,1
2020-07-01 10:51:00,137.5,137.5,137.5,137.5,1
2020-07-01 10:57:00,137.46,137.46,137.46,137.46,1
2020-07-02 09:19:00,139.75,139.75,139.75,139.75,1
2020-07-02 10:01:00,139.75,139.75,139.75,139.75,1
2020-07-06 12:45:00,140.75,140.75,140.75,140.75,1
2020-07-06 12:53:00,140.25,140.25,140.25,140.25,1
2020-07-06 12:54:00,140.25,140.25,140.25,140.25,1
2020-07-08 14:47:00,141.45,141.45,141.45,141.45,1
2020-07-14 11:11:00,141.5,141.5,141.5,141.5,7
2020-07-14 11:12:00,141.6,141.65,141.6,141.65,4
2020-07-21 12:49:00,143.5,143.5,143.5,143.5,2
2020-07-21 12:52:00,143.19,143.19,143.19,143.19,1
2020-07-27 11:17:00,142.02,142.02,142.02,142.02,1
2020-07-27 11:29:00,141.65,141.65,141.65,141.65,1
2020-07-31 09:15:00,141.9,141.9,141.9,141.9,1
2020-07-31 14:36:00,141.55,141.55,141.55,141.55,1
2020-07-31 14:38:00,141.55,141.55,141.55,141.55,10
2020-08-10 15:37:00,145.49,145.49,145.49,145.49,1
2020-08-12 10:09:00,145.99,145.99,145.99,145.99,1
2020-08-12 13:18:00,146.16,146.16,146.16,146.16,2
