day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal
44564,4,0,4324.0,-2,2022-01-03,2022-01-03 04:00:00,2022-01-03 04:00:00,VGH22.csv,838,VGH22.csv,-2.0
44564,8,0,4333.0,-3,2022-01-03,2022-01-03 08:00:00,2022-01-03 08:00:00,VGH22.csv,419,VGH22.csv,-1.0
44565,4,0,4336.5,0,2022-01-04,2022-01-04 04:00:00,2022-01-04 04:00:00,VGH22.csv,286,VGH22.csv,3.0
44566,4,0,4357.0,-2,2022-01-05,2022-01-05 04:00:00,2022-01-05 04:00:00,VGH22.csv,401,VGH22.csv,-2.0
44566,13,0,4366.5,-3,2022-01-05,2022-01-05 13:00:00,2022-01-05 13:00:00,VGH22.csv,397,VGH22.csv,-1.0
44567,4,0,4316.0,-2,2022-01-06,2022-01-06 04:00:00,2022-01-06 04:00:00,VGH22.csv,802,VGH22.csv,1.0
44567,8,0,4318.5,-1,2022-01-06,2022-01-06 08:00:00,2022-01-06 08:00:00,VGH22.csv,483,VGH22.csv,1.0
44568,4,0,4295.5,1,2022-01-07,2022-01-07 04:00:00,2022-01-07 04:00:00,VGH22.csv,1236,VGH22.csv,2.0
44568,13,0,4295.5,2,2022-01-07,2022-01-07 13:00:00,2022-01-07 13:00:00,VGH22.csv,148,VGH22.csv,1.0
44568,15,45,4292.5,0,2022-01-07,2022-01-07 15:45:00,2022-01-07 15:45:00,VGH22.csv,407,VGH22.csv,-2.0
44571,4,0,4278.5,2,2022-01-10,2022-01-10 04:00:00,2022-01-10 04:00:00,VGH22.csv,443,VGH22.csv,2.0
44571,8,0,4258.0,4,2022-01-10,2022-01-10 08:00:00,2022-01-10 08:00:00,VGH22.csv,947,VGH22.csv,2.0
44571,13,0,4231.0,6,2022-01-10,2022-01-10 13:00:00,2022-01-10 13:00:00,VGH22.csv,540,VGH22.csv,2.0
44572,4,0,4270.0,5,2022-01-11,2022-01-11 04:00:00,2022-01-11 04:00:00,VGH22.csv,1083,VGH22.csv,-1.0
44572,8,0,4270.5,3,2022-01-11,2022-01-11 08:00:00,2022-01-11 08:00:00,VGH22.csv,682,VGH22.csv,-2.0
44572,13,0,4283.0,1,2022-01-11,2022-01-11 13:00:00,2022-01-11 13:00:00,VGH22.csv,162,VGH22.csv,-2.0
44573,4,0,4282.0,2,2022-01-12,2022-01-12 04:00:00,2022-01-12 04:00:00,VGH22.csv,535,VGH22.csv,1.0
44575,4,0,4262.5,1,2022-01-14,2022-01-14 04:00:00,2022-01-14 04:00:00,VGH22.csv,922,VGH22.csv,-1.0
44575,13,0,4253.5,3,2022-01-14,2022-01-14 13:00:00,2022-01-14 13:00:00,VGH22.csv,110,VGH22.csv,2.0
44575,15,45,4281.5,0,2022-01-14,2022-01-14 15:45:00,2022-01-14 15:45:00,VGH22.csv,447,VGH22.csv,-3.0
44579,4,0,4242.0,2,2022-01-18,2022-01-18 04:00:00,2022-01-18 04:00:00,VGH22.csv,938,VGH22.csv,2.0
44579,8,0,4255.5,4,2022-01-18,2022-01-18 08:00:00,2022-01-18 08:00:00,VGH22.csv,689,VGH22.csv,2.0
44579,13,0,4239.0,6,2022-01-18,2022-01-18 13:00:00,2022-01-18 13:00:00,VGH22.csv,162,VGH22.csv,2.0
44580,4,0,4255.5,3,2022-01-19,2022-01-19 04:00:00,2022-01-19 04:00:00,VGH22.csv,1448,VGH22.csv,-3.0
44580,8,0,4273.0,0,2022-01-19,2022-01-19 08:00:00,2022-01-19 08:00:00,VGH22.csv,197,VGH22.csv,-3.0
44580,13,0,4272.0,-2,2022-01-19,2022-01-19 13:00:00,2022-01-19 13:00:00,VGH22.csv,272,VGH22.csv,-2.0
44581,4,0,4251.0,-1,2022-01-20,2022-01-20 04:00:00,2022-01-20 04:00:00,VGH22.csv,261,VGH22.csv,1.0
44582,4,0,4231.5,1,2022-01-21,2022-01-21 04:00:00,2022-01-21 04:00:00,VGH22.csv,2235,VGH22.csv,2.0
44582,8,0,4209.0,4,2022-01-21,2022-01-21 08:00:00,2022-01-21 08:00:00,VGH22.csv,1459,VGH22.csv,3.0
44582,13,0,4191.5,5,2022-01-21,2022-01-21 13:00:00,2022-01-21 13:00:00,VGH22.csv,684,VGH22.csv,1.0
44582,15,45,4179.5,0,2022-01-21,2022-01-21 15:45:00,2022-01-21 15:45:00,VGH22.csv,334,VGH22.csv,-5.0
44585,8,0,4120.0,2,2022-01-24,2022-01-24 08:00:00,2022-01-24 08:00:00,VGH22.csv,2454,VGH22.csv,2.0
44585,13,0,4030.5,4,2022-01-24,2022-01-24 13:00:00,2022-01-24 13:00:00,VGH22.csv,872,VGH22.csv,2.0
44586,4,0,4068.0,5,2022-01-25,2022-01-25 04:00:00,2022-01-25 04:00:00,VGH22.csv,1192,VGH22.csv,1.0
44587,8,0,4167.5,3,2022-01-26,2022-01-26 08:00:00,2022-01-26 08:00:00,VGH22.csv,570,VGH22.csv,-2.0
44587,13,0,4169.5,2,2022-01-26,2022-01-26 13:00:00,2022-01-26 13:00:00,VGH22.csv,445,VGH22.csv,-1.0
44588,8,0,4150.0,3,2022-01-27,2022-01-27 08:00:00,2022-01-27 08:00:00,VGH22.csv,415,VGH22.csv,1.0
44588,13,0,4157.5,4,2022-01-27,2022-01-27 13:00:00,2022-01-27 13:00:00,VGH22.csv,312,VGH22.csv,1.0
44589,8,0,4070.5,5,2022-01-28,2022-01-28 08:00:00,2022-01-28 08:00:00,VGH22.csv,1999,VGH22.csv,1.0
44589,15,45,4145.0,0,2022-01-28,2022-01-28 15:45:00,2022-01-28 15:45:00,VGH22.csv,475,VGH22.csv,-5.0
44592,4,0,4185.5,1,2022-01-31,2022-01-31 04:00:00,2022-01-31 04:00:00,VGH22.csv,967,VGH22.csv,1.0
44592,8,0,4144.5,2,2022-01-31,2022-01-31 08:00:00,2022-01-31 08:00:00,VGH22.csv,775,VGH22.csv,1.0
44592,13,0,4178.5,3,2022-01-31,2022-01-31 13:00:00,2022-01-31 13:00:00,VGH22.csv,281,VGH22.csv,1.0
44593,8,0,4215.0,2,2022-02-01,2022-02-01 08:00:00,2022-02-01 08:00:00,VGH22.csv,652,VGH22.csv,-1.0
44594,4,0,4226.5,0,2022-02-02,2022-02-02 04:00:00,2022-02-02 04:00:00,VGH22.csv,416,VGH22.csv,-2.0
44594,8,0,4236.5,1,2022-02-02,2022-02-02 08:00:00,2022-02-02 08:00:00,VGH22.csv,203,VGH22.csv,1.0
44595,4,0,4194.5,4,2022-02-03,2022-02-03 04:00:00,2022-02-03 04:00:00,VGH22.csv,369,VGH22.csv,3.0
44595,8,0,4191.5,5,2022-02-03,2022-02-03 08:00:00,2022-02-03 08:00:00,VGH22.csv,519,VGH22.csv,1.0
44595,13,0,4121.5,6,2022-02-03,2022-02-03 13:00:00,2022-02-03 13:00:00,VGH22.csv,92,VGH22.csv,1.0
44596,4,0,4118.0,4,2022-02-04,2022-02-04 04:00:00,2022-02-04 04:00:00,VGH22.csv,1930,VGH22.csv,-2.0
44596,15,45,4106.0,0,2022-02-04,2022-02-04 15:45:00,2022-02-04 15:45:00,VGH22.csv,304,VGH22.csv,-4.0
44599,4,0,4092.0,1,2022-02-07,2022-02-07 04:00:00,2022-02-07 04:00:00,VGH22.csv,763,VGH22.csv,1.0
44599,13,0,4105.0,3,2022-02-07,2022-02-07 13:00:00,2022-02-07 13:00:00,VGH22.csv,126,VGH22.csv,2.0
44600,8,0,4107.0,4,2022-02-08,2022-02-08 08:00:00,2022-02-08 08:00:00,VGH22.csv,104,VGH22.csv,1.0
44600,13,0,4131.5,3,2022-02-08,2022-02-08 13:00:00,2022-02-08 13:00:00,VGH22.csv,45,VGH22.csv,-1.0
44601,8,0,4186.0,2,2022-02-09,2022-02-09 08:00:00,2022-02-09 08:00:00,VGH22.csv,705,VGH22.csv,-1.0
44602,4,0,4203.0,1,2022-02-10,2022-02-10 04:00:00,2022-02-10 04:00:00,VGH22.csv,1153,VGH22.csv,-1.0
44602,13,0,4174.0,2,2022-02-10,2022-02-10 13:00:00,2022-02-10 13:00:00,VGH22.csv,207,VGH22.csv,1.0
44603,4,0,4138.0,4,2022-02-11,2022-02-11 04:00:00,2022-02-11 04:00:00,VGH22.csv,2118,VGH22.csv,2.0
44603,8,0,4152.0,5,2022-02-11,2022-02-11 08:00:00,2022-02-11 08:00:00,VGH22.csv,310,VGH22.csv,1.0
44603,15,45,4063.5,0,2022-02-11,2022-02-11 15:45:00,2022-02-11 15:45:00,VGH22.csv,946,VGH22.csv,-5.0
44606,8,0,4055.5,1,2022-02-14,2022-02-14 08:00:00,2022-02-14 08:00:00,VGH22.csv,2332,VGH22.csv,1.0
44606,13,0,4060.5,3,2022-02-14,2022-02-14 13:00:00,2022-02-14 13:00:00,VGH22.csv,218,VGH22.csv,2.0
44607,4,0,4102.0,5,2022-02-15,2022-02-15 04:00:00,2022-02-15 04:00:00,VGH22.csv,851,VGH22.csv,2.0
44607,8,0,4125.0,4,2022-02-15,2022-02-15 08:00:00,2022-02-15 08:00:00,VGH22.csv,1551,VGH22.csv,-1.0
44607,13,0,4128.5,3,2022-02-15,2022-02-15 13:00:00,2022-02-15 13:00:00,VGH22.csv,520,VGH22.csv,-1.0
44608,4,0,4161.0,1,2022-02-16,2022-02-16 04:00:00,2022-02-16 04:00:00,VGH22.csv,374,VGH22.csv,-2.0
44609,4,0,4132.0,3,2022-02-17,2022-02-17 04:00:00,2022-02-17 04:00:00,VGH22.csv,982,VGH22.csv,2.0
44609,8,0,4139.0,4,2022-02-17,2022-02-17 08:00:00,2022-02-17 08:00:00,VGH22.csv,205,VGH22.csv,1.0
44609,13,0,4103.0,5,2022-02-17,2022-02-17 13:00:00,2022-02-17 13:00:00,VGH22.csv,75,VGH22.csv,1.0
44610,4,0,4119.0,4,2022-02-18,2022-02-18 04:00:00,2022-02-18 04:00:00,VGH22.csv,248,VGH22.csv,-1.0
44610,8,0,4117.0,2,2022-02-18,2022-02-18 08:00:00,2022-02-18 08:00:00,VGH22.csv,224,VGH22.csv,-2.0
44610,13,0,4058.0,1,2022-02-18,2022-02-18 13:00:00,2022-02-18 13:00:00,VGH22.csv,388,VGH22.csv,-1.0
44610,15,45,4073.0,0,2022-02-18,2022-02-18 15:45:00,2022-02-18 15:45:00,VGH22.csv,454,VGH22.csv,-1.0
