day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal
45821,9,0,131.2,6,2025-06-13,2025-06-13 09:00:00,2025-06-13 09:00:00,RXU25.csv,1232,RXU25.csv,5.0
45821,10,0,131.08,8,2025-06-13,2025-06-13 10:00:00,2025-06-13 10:00:00,RXU25.csv,2598,RXU25.csv,2.0
45821,12,0,130.76,7,2025-06-13,2025-06-13 12:00:00,2025-06-13 12:00:00,RXU25.csv,199,RXU25.csv,-1.0
45821,15,45,130.8,0,2025-06-13,2025-06-13 15:45:00,2025-06-13 15:45:00,RXU25.csv,32,RXU25.csv,-7.0
45824,2,30,130.69,2,2025-06-16,2025-06-16 02:30:00,2025-06-16 02:30:00,RXU25.csv,544,RXU25.csv,2.0
45824,4,30,130.34,0,2025-06-16,2025-06-16 04:30:00,2025-06-16 04:30:00,RXU25.csv,758,RXU25.csv,-2.0
45824,6,0,130.58,2,2025-06-16,2025-06-16 06:00:00,2025-06-16 06:00:00,RXU25.csv,511,RXU25.csv,2.0
45824,8,0,130.58,4,2025-06-16,2025-06-16 08:00:00,2025-06-16 08:00:00,RXU25.csv,3731,RXU25.csv,2.0
45824,9,0,130.7,7,2025-06-16,2025-06-16 09:00:00,2025-06-16 09:00:00,RXU25.csv,2197,RXU25.csv,3.0
45824,10,0,130.93,11,2025-06-16,2025-06-16 10:00:00,2025-06-16 10:00:00,RXU25.csv,2465,RXU25.csv,4.0
45824,12,0,130.85,5,2025-06-16,2025-06-16 12:00:00,2025-06-16 12:00:00,RXU25.csv,262,RXU25.csv,-6.0
45825,6,0,130.64,8,2025-06-17,2025-06-17 06:00:00,2025-06-17 06:00:00,RXU25.csv,435,RXU25.csv,3.0
45825,8,0,130.96,9,2025-06-17,2025-06-17 08:00:00,2025-06-17 08:00:00,RXU25.csv,1503,RXU25.csv,1.0
45825,9,0,130.88,8,2025-06-17,2025-06-17 09:00:00,2025-06-17 09:00:00,RXU25.csv,1651,RXU25.csv,-1.0
45825,10,0,130.8,7,2025-06-17,2025-06-17 10:00:00,2025-06-17 10:00:00,RXU25.csv,174,RXU25.csv,-1.0
