time,open,high,low,close,volume
2025-03-31 12:43:00,127.8,127.8,127.8,127.8,3
2025-04-17 09:00:00,130.6,130.6,130.6,130.6,3
2025-04-23 02:14:00,130.7,130.7,130.7,130.7,2
2025-04-23 02:15:00,130.7,130.7,130.7,130.7,1
2025-05-09 03:15:00,129.61,129.61,129.61,129.61,1
2025-05-23 07:48:00,129.64,129.64,129.64,129.64,1
2025-05-26 21:58:00,130.51,130.51,130.51,130.51,1
2025-05-26 22:02:00,130.53,130.53,130.53,130.53,1
2025-05-26 22:03:00,130.52,130.52,130.52,130.52,1
2025-05-26 22:22:00,130.53,130.53,130.53,130.53,1
2025-05-26 22:23:00,130.53,130.53,130.53,130.53,1
2025-05-26 22:24:00,130.53,130.53,130.53,130.53,5
2025-05-27 01:41:00,130.72,130.73,130.72,130.73,5
2025-05-27 01:44:00,130.75,130.75,130.75,130.75,5
2025-05-29 05:59:00,129.43,129.43,129.43,129.43,1
2025-06-03 03:21:00,130.3,130.3,130.3,130.3,1
2025-06-04 09:40:00,129.95,129.95,129.95,129.95,1
2025-06-04 10:02:00,129.93,129.93,129.93,129.93,1
2025-06-05 04:53:00,130.13,130.13,130.13,130.13,1
2025-06-05 05:41:00,130.27,130.27,130.27,130.27,1
2025-06-05 09:21:00,129.67,129.68,129.67,129.68,3
2025-06-05 09:22:00,129.5,129.5,129.5,129.5,1
2025-06-05 09:23:00,129.5,129.5,129.5,129.5,2
2025-06-06 01:34:00,129.39,129.39,129.39,129.39,1
2025-06-06 02:07:00,129.37,129.37,129.37,129.37,1
2025-06-06 02:31:00,129.34,129.34,129.34,129.34,1
2025-06-06 04:21:00,129.69,129.69,129.69,129.69,2
2025-06-06 05:15:00,129.6,129.6,129.6,129.6,1
2025-06-06 05:32:00,129.71,129.71,129.71,129.71,1
2025-06-06 05:33:00,129.66,129.66,129.66,129.66,1
2025-06-06 09:06:00,129.4,129.4,129.36,129.36,2
2025-06-06 09:14:00,129.37,129.37,129.37,129.37,1
2025-06-06 12:43:00,129.26,129.26,129.26,129.26,1
2025-06-09 03:37:00,129.69,129.69,129.69,129.69,2
2025-06-09 03:40:00,129.71,129.71,129.71,129.71,2
2025-06-09 03:45:00,129.75,129.75,129.75,129.75,1
2025-06-09 03:46:00,129.76,129.76,129.76,129.76,1
2025-06-09 07:08:00,129.66,129.66,129.66,129.66,1
2025-06-09 07:20:00,129.48,129.48,129.48,129.48,1
2025-06-09 07:54:00,129.33,129.34,129.33,129.34,2
2025-06-09 07:55:00,129.34,129.34,129.34,129.34,1
2025-06-09 07:58:00,129.32,129.32,129.32,129.32,1
2025-06-09 08:45:00,129.22,129.22,129.22,129.22,1
2025-06-09 08:49:00,129.24,129.24,129.24,129.24,1
2025-06-09 08:52:00,129.19,129.19,129.19,129.19,1
2025-06-09 11:45:00,129.39,129.39,129.39,129.39,1
2025-06-10 03:32:00,129.6,129.6,129.6,129.6,1
2025-06-10 09:41:00,129.89,129.89,129.89,129.89,1
2025-06-11 04:19:00,129.63,129.63,129.63,129.63,1
2025-06-11 08:33:00,129.75,129.75,129.75,129.75,1
2025-06-11 09:23:00,129.74,129.74,129.74,129.74,1
2025-06-11 12:34:00,129.73,129.73,129.73,129.73,1
2025-06-12 02:58:00,130.07,130.07,130.07,130.07,1
2025-06-12 04:46:00,130.11,130.11,130.11,130.11,1
2025-06-12 05:41:00,130.25,130.25,130.25,130.25,1
2025-06-12 07:02:00,130.38,130.38,130.38,130.38,1
2025-06-12 11:52:00,130.33,130.33,130.33,130.33,1
2025-06-12 11:54:00,130.31,130.31,130.31,130.31,1
2025-06-13 00:49:00,130.55,130.55,130.55,130.55,2
2025-06-13 01:28:00,130.8,130.8,130.8,130.8,1
2025-06-13 01:57:00,130.72,130.72,130.72,130.72,1
2025-06-13 02:22:00,130.74,130.74,130.74,130.74,1
2025-06-13 03:02:00,130.56,130.56,130.56,130.56,2
2025-06-13 03:06:00,130.45,130.45,130.45,130.45,1
2025-06-13 04:01:00,130.24,130.24,130.24,130.24,1
2025-06-13 04:02:00,130.25,130.28,130.25,130.28,5
2025-06-13 04:19:00,130.2,130.2,130.2,130.2,1
2025-06-13 04:41:00,130.29,130.29,130.29,130.29,2
2025-06-13 06:22:00,130.1,130.1,130.1,130.1,1
2025-06-13 09:53:00,130.07,130.07,130.07,130.07,1
2025-06-13 10:06:00,130.02,130.02,130.02,130.02,1
2025-06-13 10:09:00,130.0,130.0,130.0,130.0,4
2025-06-13 10:13:00,129.93,129.93,129.92,129.92,3
2025-06-13 10:16:00,129.94,129.95,129.94,129.95,4
2025-06-13 10:17:00,129.93,129.93,129.91,129.91,5
2025-06-13 10:34:00,129.82,129.82,129.79,129.79,3
2025-06-13 10:42:00,129.79,129.82,129.79,129.82,4
2025-06-13 10:43:00,129.81,129.82,129.81,129.82,8
2025-06-13 10:44:00,129.79,129.79,129.78,129.78,3
2025-06-13 10:48:00,129.78,129.78,129.78,129.78,1
2025-06-13 10:49:00,129.73,129.73,129.73,129.73,1
2025-06-13 11:19:00,129.74,129.74,129.73,129.73,2
2025-06-13 11:30:00,129.69,129.69,129.69,129.69,2
2025-06-13 11:31:00,129.73,129.73,129.73,129.73,2
2025-06-13 11:32:00,129.67,129.67,129.67,129.67,2
2025-06-13 11:34:00,129.67,129.67,129.67,129.67,3
2025-06-13 11:35:00,129.68,129.68,129.68,129.68,1
2025-06-13 13:40:00,129.64,129.66,129.64,129.66,4
2025-06-13 14:24:00,129.7,129.7,129.7,129.7,1
2025-06-16 02:00:00,129.6,129.6,129.6,129.6,1
2025-06-16 03:05:00,129.41,129.42,129.37,129.38,5
2025-06-16 03:12:00,129.25,129.25,129.24,129.24,2
2025-06-16 03:14:00,129.3,129.3,129.3,129.3,1
2025-06-16 03:17:00,129.34,129.34,129.34,129.34,1
2025-06-16 03:20:00,129.34,129.34,129.34,129.34,1
2025-06-16 03:57:00,129.41,129.41,129.41,129.41,1
2025-06-16 11:00:00,129.8,129.8,129.8,129.8,1
2025-06-17 01:34:00,129.61,129.61,129.61,129.61,1
2025-06-17 07:56:00,129.95,129.95,129.95,129.95,1
2025-06-17 08:48:00,129.98,129.98,129.98,129.98,1
2025-06-17 10:02:00,129.78,129.78,129.78,129.78,1
2025-06-17 10:25:00,129.78,129.78,129.78,129.78,1
2025-06-17 11:26:00,129.79,129.79,129.79,129.79,1
2025-06-17 11:37:00,129.74,129.74,129.74,129.74,2
2025-06-17 14:11:00,129.94,129.94,129.94,129.94,1
2025-06-18 02:22:00,129.72,129.72,129.72,129.72,1
2025-06-18 02:26:00,129.7,129.7,129.7,129.7,1
2025-06-18 05:57:00,129.86,129.86,129.86,129.86,1
2025-06-18 06:19:00,129.87,129.87,129.87,129.87,1
2025-06-18 09:44:00,130.02,130.02,130.02,130.02,1
2025-06-18 13:11:00,130.2,130.2,130.2,130.2,1
2025-06-18 13:38:00,130.19,130.19,130.19,130.19,1
2025-06-18 14:25:00,130.12,130.12,130.12,130.12,1
2025-06-19 02:15:00,129.95,129.95,129.95,129.95,1
2025-06-19 02:41:00,129.89,129.89,129.89,129.89,1
2025-06-19 04:17:00,129.76,129.76,129.76,129.76,1
2025-06-19 08:56:00,130.12,130.12,130.12,130.12,1
2025-06-19 09:35:00,130.1,130.1,130.1,130.1,1
2025-06-19 10:46:00,130.01,130.01,130.01,130.01,1
2025-06-19 12:20:00,129.97,129.97,129.97,129.97,1
2025-06-20 03:08:00,130.27,130.27,130.27,130.27,1
2025-06-20 03:46:00,130.05,130.05,130.05,130.05,1
2025-06-20 04:27:00,129.95,129.95,129.95,129.95,1
2025-06-20 07:50:00,129.91,129.91,129.91,129.91,1
2025-06-23 02:37:00,129.57,129.59,129.57,129.59,6
2025-06-23 02:38:00,129.57,129.57,129.57,129.57,2
2025-06-23 05:24:00,129.82,129.82,129.82,129.82,1
2025-06-23 09:06:00,130.06,130.06,130.06,130.06,1
2025-06-24 03:25:00,129.81,129.81,129.81,129.81,1
2025-06-24 05:14:00,129.62,129.62,129.62,129.62,4
2025-06-24 05:15:00,129.59,129.59,129.59,129.59,2
2025-06-24 05:28:00,129.47,129.47,129.47,129.47,2
2025-06-24 05:29:00,129.48,129.48,129.43,129.43,4
2025-06-24 07:41:00,129.55,129.55,129.55,129.55,1
2025-06-24 09:04:00,129.64,129.64,129.64,129.64,1
2025-06-24 10:37:00,129.77,129.77,129.77,129.77,1
2025-06-24 11:13:00,129.85,129.85,129.85,129.85,1
2025-06-24 11:58:00,129.66,129.66,129.66,129.66,1
2025-06-25 03:08:00,130.05,130.05,130.05,130.05,1
2025-06-25 03:58:00,130.02,130.02,130.02,130.02,1
2025-06-25 04:57:00,129.83,129.83,129.83,129.83,1
2025-06-25 05:07:00,129.73,129.73,129.73,129.73,1
2025-06-25 05:20:00,129.78,129.78,129.78,129.78,1
2025-06-25 05:56:00,129.63,129.63,129.63,129.63,1
2025-06-25 06:50:00,129.54,129.55,129.54,129.55,5
2025-06-25 06:51:00,129.52,129.52,129.52,129.52,2
2025-06-25 07:48:00,129.45,129.45,129.45,129.45,1
2025-06-25 08:02:00,129.47,129.47,129.47,129.47,1
2025-06-25 09:00:00,129.44,129.44,129.44,129.44,1
2025-06-25 09:39:00,129.32,129.33,129.32,129.33,6
2025-06-25 09:43:00,129.35,129.35,129.35,129.35,3
2025-06-25 10:00:00,129.37,129.37,129.37,129.37,1
2025-06-25 10:21:00,129.33,129.33,129.33,129.33,1
2025-06-25 11:18:00,129.47,129.47,129.47,129.47,1
2025-06-25 14:15:00,129.45,129.45,129.45,129.45,1
2025-06-26 02:55:00,129.62,129.62,129.62,129.62,1
2025-06-26 10:16:00,129.46,129.46,129.46,129.46,1
2025-06-27 03:19:00,129.27,129.27,129.24,129.24,6
2025-06-27 03:22:00,129.16,129.16,129.16,129.16,1
2025-06-27 03:34:00,129.25,129.25,129.24,129.24,2
2025-06-27 05:03:00,129.39,129.39,129.39,129.39,1
2025-06-27 08:06:00,129.27,129.27,129.27,129.27,2
2025-06-27 09:37:00,129.09,129.09,129.09,129.09,1
2025-06-27 09:38:00,129.13,129.13,129.13,129.13,4
2025-06-27 09:39:00,129.1,129.1,129.1,129.1,3
2025-06-27 10:11:00,129.27,129.27,129.27,129.27,1
2025-06-27 10:51:00,129.1,129.1,129.09,129.09,6
2025-06-27 12:21:00,129.22,129.22,129.22,129.22,1
2025-06-30 04:29:00,129.39,129.39,129.39,129.39,1
2025-06-30 10:25:00,129.04,129.04,129.04,129.04,4
2025-06-30 10:26:00,129.02,129.02,129.02,129.02,3
2025-06-30 10:28:00,129.08,129.08,129.08,129.08,1
2025-06-30 10:29:00,129.08,129.08,129.08,129.08,1
2025-06-30 11:05:00,129.13,129.13,129.13,129.13,1
2025-06-30 11:47:00,128.95,128.95,128.95,128.95,1
2025-06-30 11:50:00,128.94,128.94,128.93,128.93,6
2025-07-01 02:11:00,129.29,129.29,129.29,129.29,1
2025-07-01 03:50:00,129.61,129.61,129.61,129.61,1
2025-07-01 03:56:00,129.51,129.51,129.51,129.51,1
2025-07-01 04:22:00,129.52,129.52,129.52,129.52,1
2025-07-01 04:23:00,129.5,129.5,129.5,129.5,1
2025-07-01 05:26:00,129.55,129.55,129.55,129.55,1
